antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'solar_consumption', 'oil_consumption'})","frozenset({'wind_consumption', 'gas_consumption'})",0.012286814597469282,0.017604988079955988,0.010269576379974325,0.835820895522388,47.47636815920398,1.0,0.01005326715544525,5.983678708967539,0.9911145297331707,0.5233644859813084,0.8328787275123356,0.7095771144278606
"frozenset({'wind_consumption', 'gas_consumption'})","frozenset({'solar_consumption', 'oil_consumption'})",0.017604988079955988,0.012286814597469282,0.010269576379974325,0.5833333333333333,47.47636815920398,1.0,0.01005326715544525,2.3705116449660735,0.9964799061308302,0.5233644859813084,0.5781501423443495,0.7095771144278606
frozenset({'solar_consumption'}),"frozenset({'oil_consumption', 'wind_consumption', 'gas_consumption'})",0.012653585182468365,0.017604988079955988,0.010269576379974325,0.8115942028985507,46.10024154589372,1.0,0.010046810163668263,5.214250447883309,0.9908458925918064,0.5137614678899082,0.8082178809792415,0.6974637681159419
"frozenset({'oil_consumption', 'wind_consumption', 'gas_consumption'})",frozenset({'solar_consumption'}),0.017604988079955988,0.012653585182468365,0.010269576379974325,0.5833333333333333,46.10024154589372,1.0,0.010046810163668263,2.3696313955620756,0.9958398890637085,0.5137614678899082,0.5779934373452204,0.6974637681159419
frozenset({'solar_consumption'}),"frozenset({'wind_consumption', 'gas_consumption'})",0.012653585182468365,0.017604988079955988,0.010269576379974325,0.8115942028985507,46.10024154589372,1.0,0.010046810163668263,5.214250447883309,0.9908458925918064,0.5137614678899082,0.8082178809792415,0.6974637681159419
"frozenset({'wind_consumption', 'gas_consumption'})",frozenset({'solar_consumption'}),0.017604988079955988,0.012653585182468365,0.010269576379974325,0.5833333333333333,46.10024154589372,1.0,0.010046810163668263,2.3696313955620756,0.9958398890637085,0.5137614678899082,0.5779934373452204,0.6974637681159419
"frozenset({'solar_consumption', 'gas_consumption'})","frozenset({'oil_consumption', 'wind_consumption'})",0.0119200440124702,0.01888868512745278,0.010269576379974325,0.8615384615384615,45.61135175504107,1.0,0.010044422421917398,7.085803940746171,0.9898749867430269,0.4999999999999999,0.8588727534148094,0.7026138909634054
"frozenset({'oil_consumption', 'wind_consumption'})","frozenset({'solar_consumption', 'gas_consumption'})",0.01888868512745278,0.0119200440124702,0.010269576379974325,0.5436893203883494,45.61135175504106,1.0,0.010044422421917398,2.1653667120577778,0.9969058744993325,0.4999999999999999,0.5381844588117426,0.7026138909634054
"frozenset({'solar_consumption', 'oil_consumption'})",frozenset({'wind_consumption'}),0.012286814597469282,0.019209609389326976,0.010682193288098295,0.8694029850746269,45.25875396288249,1.0,0.01044616837904183,7.510052133818868,0.9900696289378441,0.513215859030837,0.8668451320734709,0.7127444519645211
frozenset({'wind_consumption'}),"frozenset({'solar_consumption', 'oil_consumption'})",0.019209609389326976,0.012286814597469282,0.010682193288098295,0.5560859188544153,45.25875396288249,1.0,0.01044616837904183,2.2250098101272062,0.9970579201531768,0.513215859030837,0.5505637793377509,0.7127444519645211
"frozenset({'solar_consumption', 'oil_consumption', 'gas_consumption'})",frozenset({'wind_consumption'}),0.011874197689345315,0.019209609389326976,0.010269576379974325,0.8648648648648648,45.02251177191511,1.0,0.010041477680550352,7.257848890518977,0.9895388692989373,0.4933920704845815,0.8622181289408888,0.6997355350577308
frozenset({'wind_consumption'}),"frozenset({'solar_consumption', 'oil_consumption', 'gas_consumption'})",0.019209609389326976,0.011874197689345315,0.010269576379974325,0.5346062052505967,45.02251177191511,1.0,0.010041477680550352,2.1232036470162274,0.9969397115879026,0.4933920704845815,0.5290136198638712,0.6997355350577308
"frozenset({'solar_consumption', 'gas_consumption'})",frozenset({'wind_consumption'}),0.0119200440124702,0.019209609389326976,0.010269576379974325,0.8615384615384615,44.849348265100055,1.0,0.010040596990591188,7.083486154410413,0.9894979915685651,0.4923076923076923,0.8588265751917414,0.6980723333945291
frozenset({'wind_consumption'}),"frozenset({'solar_consumption', 'gas_consumption'})",0.019209609389326976,0.0119200440124702,0.010269576379974325,0.5346062052505967,44.849348265100055,1.0,0.010040596990591188,2.123105136198846,0.9968522747761285,0.4923076923076923,0.5289917663755574,0.6980723333945291
frozenset({'solar_consumption'}),"frozenset({'oil_consumption', 'wind_consumption'})",0.012653585182468365,0.01888868512745278,0.010682193288098295,0.8442028985507247,44.69357675531167,1.0,0.010443183701853247,6.297365648949376,0.9901544235343636,0.5120879120879122,0.8412034403359069,0.7048684395666245
"frozenset({'oil_consumption', 'wind_consumption'})",frozenset({'solar_consumption'}),0.01888868512745278,0.012653585182468365,0.010682193288098295,0.5655339805825242,44.69357675531167,1.0,0.010443183701853247,2.2725515246079495,0.9964469937026191,0.5120879120879122,0.5599659725327831,0.7048684395666245
frozenset({'wind_consumption'}),frozenset({'solar_consumption'}),0.019209609389326976,0.012653585182468365,0.010773885934348065,0.5608591885441527,44.32413268306181,1.0,0.010530815505618272,2.2483594989594877,0.996582894981556,0.5108695652173912,0.5552312695266094,0.7061542319532358
frozenset({'solar_consumption'}),frozenset({'wind_consumption'}),0.012653585182468365,0.019209609389326976,0.010773885934348065,0.8514492753623188,44.32413268306181,1.0,0.010530815505618272,6.602393848988921,0.989965540134678,0.5108695652173912,0.8485397837705276,0.7061542319532358
